,Company,Address,Details
0,LuDe Inc,"
Unitedstates-Florida-Sarasota
","['\nMain Products:Travertine, White Marble, Brazilian Granite, Onyx, General Marble\nEstablished:May 30, 2006\nAnnual Turnover:US$1 Million\nTelephone:786-877 0660\nFax No:\nMobile: \n\nCompany Address:\n100 Wallace Ave. Suite 245 Sarasota FL 34237\n\n\n']"
1,"DM Decos by Design, Inc.","
Unitedstates-Florida-Westpalmbeach
","['\nBusiness Type:Exporter,Importer,Contractor,Wholesaler\nMain Products:Coquina Shellstone, Marbella Shellstone, Ticul Dorada, Pool Coping\nEstablished:Dec 31, 2006\nNO. of Employees:5 ~ 50\nAnnual Turnover:US$1 Million\n']"
2,"Stone Source International, Inc.","
Unitedstates-Louisiana-Neworleans
","['\nBusiness Type:Importer,Contractor,Wholesaler\nMain Products:Marble, Granite, Travertine, Slate, Brokers, Sourcing Agents\nEstablished:Oct 01, 2001\nNO. of Employees:<5\nAnnual Turnover:US$1 Million\n']"
3,"Stone and Tile Shoppe, Inc.","
Unitedstates-California-Northhollywood
","['\nBusiness Type:Importer,Other\nMain Products:Slate, Marble, Granite, Limestone\nNO. of Employees:N/A\nAnnual Turnover:US$1 Million\n']"
4,EUROTILEONLINE,"
Unitedstates-California-Anaheim
","['\nBusiness Type:Importer,Wholesaler,Machinery and Tools\nMain Products:Marble, Granite, Travertine, Limestone, Slate, Quartzite Stone\nNO. of Employees:N/A\nAnnual Turnover:US$1 Million\n']"
5,Architectural Interiors and Millwork,"
Unitedstates-Newjersey-Eatontown
","['\nBusiness Type:Exporter,Importer,Factory,Wholesaler\nMain Products:Crema Marfil, Jerusalem Stone, Travertine, Egyptian Stone\nEstablished:Dec 31, 2003\nNO. of Employees:<5\nAnnual Turnover:US$3 Million\n']"
6,Empatico Architectural Surfaces,"
Unitedstates-Ohio-Solon
","['\nBusiness Type:Exporter,Importer,Factory\nMain Products:Quartz Slabs, Engineered Quartz, Quartz Surfacing, Rough Jade, Jade, Nephrite\nEstablished:Jun 05, 2012\nNO. of Employees:5 ~ 50\nAnnual Turnover:US$6 Million\n']"
7,Jerusalem Stone Architecture,"
Unitedstates-Florida-Coconutcreek
","['\nBusiness Type:Exporter,Importer,Factory,Wholesaler\nMain Products:Jerusalem Stone Architectural Elements, Column, Limestone Columns, Hand Carved Column Capitals,, Balustrade & Raillings, Carving, Window Sills,Surround, Door Arch, Window Frame, Stairs & Steps\nEstablished:Dec 29, 2000\nNO. of Employees:5 ~ 50\nAnnual Turnover:US$1 Million\n']"
8,StoneX Tiles and Stones,"
Unitedstates-California-Anaheim
","['\nBusiness Type:Importer,Contractor\nMain Products:Amarillo Triana Marble, Amazon Blue Granite, Brazilian Green Slate, Cedar Limestone\nEstablished:Dec 31, 2000\nNO. of Employees:N/A\nAnnual Turnover:US$1 Million\n']"
9,Crystaline Stone,"
Unitedstates-Florida-Doral
","['\nBusiness Type:Exporter,Importer,Factory,Wholesaler\nMain Products:Marble, Onyx, Gem, Tiles\nEstablished:Dec 31, 2000\nNO. of Employees:<5\nAnnual Turnover:US$1 Million\n']"
